Hour,Date/hour start,Solar electricity generation (kWh),Electricity usage-kWh,Electricity usage z-score,Solar electricity generation z-score,bought electricity,excess solar
14,2020-02-04 14:00:00,4.227,0.996,0.996,4.227,,3.2310000000000003
15,2020-02-04 15:00:00,0.639,0.732,0.732,0.639,0.09299999999999997,
16,2020-02-04 16:00:00,0.156,0.756,0.756,0.156,0.6,
17,2020-02-04 17:00:00,0.033,1.104,1.104,0.033,1.0710000000000002,
18,2020-02-04 18:00:00,0.009,2.8446,2.8446,0.009,2.8356,
19,2020-02-04 19:00:00,0.015,14.1042,14.1042,0.015,14.0892,
20,2020-02-04 20:00:00,0.009,3.4716,3.4716,0.009,3.4626,
21,2020-02-04 21:00:00,0.015,1.77,1.77,0.015,1.7550000000000001,
22,2020-02-04 22:00:00,0.018,1.278,1.278,0.018,1.26,
23,2020-02-04 23:00:00,0.0,1.2438756,1.2438756,0.0,1.2438756,
0,2020-02-05 00:00:00,0.0,1.3558644,1.3558644,0.0,1.3558644,
1,2020-02-05 01:00:00,0.0,1.0578942,1.0578942,0.0,1.0578942,
2,2020-02-05 02:00:00,0.0,0.2979702,0.2979702,0.0,0.2979702,
3,2020-02-05 03:00:00,0.0,0.192,0.192,0.0,0.192,
4,2020-02-05 04:00:00,0.0,0.198,0.198,0.0,0.198,
5,2020-02-05 05:00:00,0.015,0.333,0.333,0.015,0.318,
6,2020-02-05 06:00:00,0.006,0.219,0.219,0.006,0.213,
7,2020-02-05 07:00:00,0.006,0.852,0.852,0.006,0.846,
8,2020-02-05 08:00:00,0.129,1.317,1.317,0.129,1.188,
9,2020-02-05 09:00:00,0.318,0.501,0.501,0.318,0.183,
10,2020-02-05 10:00:00,0.495,0.492,0.492,0.495,,0.0030000000000000027
11,2020-02-05 11:00:00,0.96,0.522,0.522,0.96,,0.43799999999999994
12,2020-02-05 12:00:00,1.215,0.975,0.975,1.215,,0.2400000000000001
13,2020-02-05 13:00:00,5.838,0.66,0.66,5.838,,5.178
14,2020-02-05 14:00:00,0.384,0.66,0.66,0.384,0.276,
15,2020-02-05 15:00:00,0.312,0.498,0.498,0.312,0.186,
16,2020-02-05 16:00:00,0.138,0.747,0.747,0.138,0.609,
17,2020-02-05 17:00:00,0.03,1.869,1.869,0.03,1.839,
18,2020-02-05 18:00:00,0.012,28.38,,0.012,28.368,
19,2020-02-05 19:00:00,0.018,20.0508,,0.018,20.032799999999998,
20,2020-02-05 20:00:00,0.009,2.9502,2.9502,0.009,2.9412000000000003,
21,2020-02-05 21:00:00,0.006,1.269,1.269,0.006,1.263,
22,2020-02-05 22:00:00,0.0,1.239,1.239,0.0,1.239,
23,2020-02-05 23:00:00,0.0,0.8339166,0.8339166,0.0,0.8339166,
0,2020-02-06 00:00:00,0.0,1.245,1.245,0.0,1.245,
1,2020-02-06 01:00:00,0.0,1.4778522,1.4778522,0.0,1.4778522,
2,2020-02-06 02:00:00,0.0,0.5519448,0.5519448,0.0,0.5519448,
3,2020-02-06 03:00:00,0.0,0.201,0.201,0.0,0.201,
4,2020-02-06 04:00:00,0.0,0.321,0.321,0.0,0.321,
5,2020-02-06 05:00:00,0.003,0.315,0.315,0.003,0.312,
6,2020-02-06 06:00:00,0.006,0.6,0.6,0.006,0.594,
7,2020-02-06 07:00:00,0.012,9.021,9.021,0.012,9.009,
8,2020-02-06 08:00:00,0.294,0.747,0.747,0.294,0.453,
9,2020-02-06 09:00:00,0.447,0.495,0.495,0.447,0.04799999999999999,
10,2020-02-06 10:00:00,1.926,0.471,0.471,1.926,,1.455
11,2020-02-06 11:00:00,1.17,0.345,0.345,1.17,,0.825
12,2020-02-06 12:00:00,1.278,1.185,1.185,1.278,,0.09299999999999997
13,2020-02-06 13:00:00,3.153,0.915,0.915,3.153,,2.238
14,2020-02-06 14:00:00,0.399,0.819,0.819,0.399,0.41999999999999993,
15,2020-02-06 15:00:00,0.315,0.924,0.924,0.315,0.609,
16,2020-02-06 16:00:00,0.069,5.673,5.673,0.069,5.604,
17,2020-02-06 17:00:00,0.006,6.513,6.513,0.006,6.507,
18,2020-02-06 18:00:00,0.006,4.9236,4.9236,0.006,4.9176,
19,2020-02-06 19:00:00,0.006,3.168,3.168,0.006,3.1620000000000004,
20,2020-02-06 20:00:00,0.0,3.7554,3.7554,0.0,3.7554,
21,2020-02-06 21:00:00,0.021,1.272,1.272,0.021,1.2510000000000001,
22,2020-02-06 22:00:00,0.021,1.797,1.797,0.021,1.776,
23,2020-02-06 23:00:00,0.0,1.5345,1.5345,0.0,1.5345,
0,2020-02-07 00:00:00,0.0,0.9859014,0.9859014,0.0,0.9859014,
1,2020-02-07 01:00:00,0.0,0.1319868,0.1319868,0.0,0.1319868,
2,2020-02-07 02:00:00,0.0,0.1339866,0.1339866,0.0,0.1339866,
3,2020-02-07 03:00:00,0.0,0.531,0.531,0.0,0.531,
4,2020-02-07 04:00:00,0.0,0.303,0.303,0.0,0.303,
5,2020-02-07 05:00:00,0.003,0.219,0.219,0.003,0.216,
6,2020-02-07 06:00:00,0.0,0.213,0.213,0.0,0.213,
7,2020-02-07 07:00:00,0.006,1.188,1.188,0.006,1.182,
8,2020-02-07 08:00:00,0.141,4.347,4.347,0.141,4.206,
9,2020-02-07 09:00:00,0.339,2.163,2.163,0.339,1.8239999999999998,
10,2020-02-07 10:00:00,0.339,3.219,3.219,0.339,2.88,
11,2020-02-07 11:00:00,1.854,3.582,3.582,1.854,1.7279999999999998,
12,2020-02-07 12:00:00,2.223,8.631,8.631,2.223,6.408,
13,2020-02-07 13:00:00,1.725,0.297,0.297,1.725,,1.4280000000000002
14,2020-02-07 14:00:00,1.194,0.324,0.324,1.194,,0.8699999999999999
15,2020-02-07 15:00:00,0.492,1.032,1.032,0.492,0.54,
16,2020-02-07 16:00:00,0.171,25.371,,0.171,25.2,
17,2020-02-07 17:00:00,0.024,3.645,3.645,0.024,3.621,
18,2020-02-07 18:00:00,0.015,7.656,7.656,0.015,7.641,
19,2020-02-07 19:00:00,0.012,6.9036,6.9036,0.012,6.8916,
20,2020-02-07 20:00:00,0.015,6.93,6.93,0.015,6.915,
21,2020-02-07 21:00:00,0.015,3.591,3.591,0.015,3.576,
22,2020-02-07 22:00:00,0.018,3.375,3.375,0.018,3.357,
23,2020-02-07 23:00:00,0.0,2.0837916,2.0837916,0.0,2.0837916,
0,2020-02-08 00:00:00,0.0,3.2505,3.2505,0.0,3.2505,
1,2020-02-08 01:00:00,0.0,0.1279872,0.1279872,0.0,0.1279872,
2,2020-02-08 02:00:00,0.0,0.1279872,0.1279872,0.0,0.1279872,
3,2020-02-08 03:00:00,0.0,0.288,0.288,0.0,0.288,
4,2020-02-08 04:00:00,0.0,0.558,0.558,0.0,0.558,
5,2020-02-08 05:00:00,0.009,0.51,0.51,0.009,0.501,
6,2020-02-08 06:00:00,0.0,0.192,0.192,0.0,0.192,
7,2020-02-08 07:00:00,0.015,5.85,5.85,0.015,5.835,
8,2020-02-08 08:00:00,0.465,6.921,6.921,0.465,6.456,
9,2020-02-08 09:00:00,1.389,5.844,5.844,1.389,4.455,
10,2020-02-08 10:00:00,4.287,5.595,5.595,4.287,1.3079999999999998,
11,2020-02-08 11:00:00,4.992,0.282,0.282,4.992,,4.71
12,2020-02-08 12:00:00,5.31,0.222,0.222,5.31,,5.087999999999999
13,2020-02-08 13:00:00,2.943,0.144,0.144,2.943,,2.799
14,2020-02-08 14:00:00,1.332,0.222,0.222,1.332,,1.11
15,2020-02-08 15:00:00,0.948,0.492,0.492,0.948,,0.45599999999999996
16,2020-02-08 16:00:00,0.273,0.231,0.231,0.273,,0.04200000000000001
17,2020-02-08 17:00:00,0.03,1.005,1.005,0.03,0.9749999999999999,
18,2020-02-08 18:00:00,0.021,1.8414,1.8414,0.021,1.8204,
19,2020-02-08 19:00:00,0.021,3.333,3.333,0.021,3.3120000000000003,
20,2020-02-08 20:00:00,0.006,3.8544,3.8544,0.006,3.8484000000000003,
21,2020-02-08 21:00:00,0.006,-2.133,,0.006,,2.139
22,2020-02-08 22:00:00,0.009,1.698,1.698,0.009,1.689,
23,2020-02-08 23:00:00,0.0,-0.2175,,0.0,,0.2175
0,2020-02-09 00:00:00,0.0,1.1218878,1.1218878,0.0,1.1218878,
1,2020-02-09 01:00:00,0.0,0.1279872,0.1279872,0.0,0.1279872,
2,2020-02-09 02:00:00,0.0,0.3719628,0.3719628,0.0,0.3719628,
3,2020-02-09 03:00:00,0.0,0.204,0.204,0.0,0.204,
4,2020-02-09 04:00:00,0.0,0.198,0.198,0.0,0.198,
5,2020-02-09 05:00:00,0.009,0.222,0.222,0.009,0.213,
6,2020-02-09 06:00:00,0.006,0.483,0.483,0.006,0.477,
7,2020-02-09 07:00:00,0.009,1.134,1.134,0.009,1.125,
8,2020-02-09 08:00:00,0.0,1.185,1.185,0.0,1.185,
9,2020-02-09 09:00:00,0.087,0.258,0.258,0.087,0.171,
10,2020-02-09 10:00:00,0.42,0.231,0.231,0.42,,0.18899999999999997
11,2020-02-09 11:00:00,0.723,0.234,0.234,0.723,,0.489
12,2020-02-09 12:00:00,0.933,0.21,0.21,0.933,,0.7230000000000001
13,2020-02-09 13:00:00,1.518,0.282,0.282,1.518,,1.236
14,2020-02-09 14:00:00,0.564,0.591,0.591,0.564,0.027000000000000024,
15,2020-02-09 15:00:00,0.936,0.555,0.555,0.936,,0.381
16,2020-02-09 16:00:00,0.111,0.375,0.375,0.111,0.264,
17,2020-02-09 17:00:00,0.021,0.621,0.621,0.021,0.6,
18,2020-02-09 18:00:00,0.018,5.0292,5.0292,0.018,5.0112000000000005,
19,2020-02-09 19:00:00,0.021,2.8446,2.8446,0.021,2.8236,
20,2020-02-09 20:00:00,0.015,2.4486,2.4486,0.015,2.4335999999999998,
21,2020-02-09 21:00:00,0.009,0.948,0.948,0.009,0.939,
22,2020-02-09 22:00:00,0.006,1.695,1.695,0.006,1.689,
23,2020-02-09 23:00:00,0.0,1.3215,1.3215,0.0,1.3215,
0,2020-02-10 00:00:00,0.0,0.8979102,0.8979102,0.0,0.8979102,
1,2020-02-10 01:00:00,0.0,0.3559644,0.3559644,0.0,0.3559644,
2,2020-02-10 02:00:00,0.0,0.1819818,0.1819818,0.0,0.1819818,
3,2020-02-10 03:00:00,0.0,0.204,0.204,0.0,0.204,
4,2020-02-10 04:00:00,0.0,0.186,0.186,0.0,0.186,
5,2020-02-10 05:00:00,0.009,0.309,0.309,0.009,0.3,
6,2020-02-10 06:00:00,0.015,0.33,0.33,0.015,0.315,
7,2020-02-10 07:00:00,0.009,0.597,0.597,0.009,0.588,
8,2020-02-10 08:00:00,0.66,1.218,1.218,0.66,0.5579999999999999,
9,2020-02-10 09:00:00,1.566,0.228,0.228,1.566,,1.338
10,2020-02-10 10:00:00,1.515,1.959,1.959,1.515,0.4440000000000002,
11,2020-02-10 11:00:00,1.515,2.013,2.013,1.515,0.498,
12,2020-02-10 12:00:00,0.96,3.375,3.375,0.96,2.415,
13,2020-02-10 13:00:00,1.164,7.167,7.167,1.164,6.003,
14,2020-02-10 14:00:00,1.071,8.031,8.031,1.071,6.960000000000001,
15,2020-02-10 15:00:00,0.312,2.625,2.625,0.312,2.313,
16,2020-02-10 16:00:00,0.096,1.095,1.095,0.096,0.999,
17,2020-02-10 17:00:00,0.033,1.215,1.215,0.033,1.1820000000000002,
18,2020-02-10 18:00:00,0.009,2.574,2.574,0.009,2.565,
19,2020-02-10 19:00:00,0.012,3.267,3.267,0.012,3.255,
20,2020-02-10 20:00:00,0.012,4.6794,4.6794,0.012,4.667400000000001,
21,2020-02-10 21:00:00,0.018,2.193,2.193,0.018,2.1750000000000003,
22,2020-02-10 22:00:00,0.012,3.825,3.825,0.012,3.813,
23,2020-02-10 23:00:00,0.0,2.5917408,2.5917408,0.0,2.5917408,
0,2020-02-11 00:00:00,0.0,2.13312,2.13312,0.0,2.13312,
1,2020-02-11 01:00:00,0.0,0.9559044,0.9559044,0.0,0.9559044,
2,2020-02-11 02:00:00,0.0,0.4959504,0.4959504,0.0,0.4959504,
3,2020-02-11 03:00:00,0.0,1.002,1.002,0.0,1.002,
4,2020-02-11 04:00:00,0.0,0.855,0.855,0.0,0.855,
5,2020-02-11 05:00:00,0.006,0.645,0.645,0.006,0.639,
6,2020-02-11 06:00:00,0.012,0.63,0.63,0.012,0.618,
7,2020-02-11 07:00:00,0.009,0.615,0.615,0.009,0.606,
8,2020-02-11 08:00:00,0.654,0.759,0.759,0.654,0.10499999999999998,
9,2020-02-11 09:00:00,1.56,4.824,4.824,1.56,3.264,
10,2020-02-11 10:00:00,2.46,0.831,0.831,2.46,,1.629
11,2020-02-11 11:00:00,3.207,0.36,0.36,3.207,,2.847
12,2020-02-11 12:00:00,2.349,5.646,5.646,2.349,3.2969999999999997,
13,2020-02-11 13:00:00,1.347,0.483,0.483,1.347,,0.864
14,2020-02-11 14:00:00,4.401,0.069,0.069,4.401,,4.332
15,2020-02-11 15:00:00,0.186,0.261,0.261,0.186,0.07500000000000001,
16,2020-02-11 16:00:00,0.369,0.471,0.471,0.369,0.10199999999999998,
17,2020-02-11 17:00:00,0.036,0.279,0.279,0.036,0.24300000000000002,
18,2020-02-11 18:00:00,0.006,12.4608,12.4608,0.006,12.4548,
19,2020-02-11 19:00:00,0.012,2.4024,2.4024,0.012,2.3904,
20,2020-02-11 20:00:00,0.009,1.6434,1.6434,0.009,1.6344,
21,2020-02-11 21:00:00,0.0,0.696,0.696,0.0,0.696,
22,2020-02-11 22:00:00,0.009,1.38,1.38,0.009,1.371,
23,2020-02-11 23:00:00,0.0,0.939906,0.939906,0.0,0.939906,
0,2020-02-12 00:00:00,0.0,1.395,1.395,0.0,1.395,
1,2020-02-12 01:00:00,0.0,0.1559844,0.1559844,0.0,0.1559844,
2,2020-02-12 02:00:00,0.0,0.1519848,0.1519848,0.0,0.1519848,
3,2020-02-12 03:00:00,0.0,0.432,0.432,0.0,0.432,
4,2020-02-12 04:00:00,0.0,0.207,0.207,0.0,0.207,
5,2020-02-12 05:00:00,0.012,0.216,0.216,0.012,0.204,
6,2020-02-12 06:00:00,0.006,0.216,0.216,0.006,0.21,
7,2020-02-12 07:00:00,0.012,0.657,0.657,0.012,0.645,
8,2020-02-12 08:00:00,0.504,1.512,1.512,0.504,1.008,
9,2020-02-12 09:00:00,2.043,0.903,0.903,2.043,,1.1400000000000001
10,2020-02-12 10:00:00,4.725,0.36,0.36,4.725,,4.364999999999999
11,2020-02-12 11:00:00,5.526,0.306,0.306,5.526,,5.22
12,2020-02-12 12:00:00,6.513,0.372,0.372,6.513,,6.141
13,2020-02-12 13:00:00,4.653,0.171,0.171,4.653,,4.481999999999999
14,2020-02-12 14:00:00,2.814,0.741,0.741,2.814,,2.073
15,2020-02-12 15:00:00,0.318,0.3,0.3,0.318,,0.018000000000000016
16,2020-02-12 16:00:00,0.072,0.918,0.918,0.072,0.8460000000000001,
17,2020-02-12 17:00:00,0.012,0.903,0.903,0.012,0.891,
18,2020-02-12 18:00:00,0.003,12.54,12.54,0.003,12.536999999999999,
19,2020-02-12 19:00:00,0.012,6.072,6.072,0.012,6.0600000000000005,
20,2020-02-12 20:00:00,0.0,6.6528,6.6528,0.0,6.6528,
21,2020-02-12 21:00:00,0.021,1.863,1.863,0.021,1.842,
22,2020-02-12 22:00:00,0.012,1.044,1.044,0.012,1.032,
23,2020-02-12 23:00:00,0.0,0.4839516,0.4839516,0.0,0.4839516,
0,2020-02-13 00:00:00,0.0,0.885,0.885,0.0,0.885,
1,2020-02-13 01:00:00,0.0,0.229977,0.229977,0.0,0.229977,
2,2020-02-13 02:00:00,0.0,0.1279872,0.1279872,0.0,0.1279872,
3,2020-02-13 03:00:00,0.0,0.462,0.462,0.0,0.462,
4,2020-02-13 04:00:00,0.0,0.213,0.213,0.0,0.213,
5,2020-02-13 05:00:00,0.009,0.216,0.216,0.009,0.207,
6,2020-02-13 06:00:00,0.012,0.339,0.339,0.012,0.327,
7,2020-02-13 07:00:00,0.489,0.771,0.771,0.489,0.28200000000000003,
8,2020-02-13 08:00:00,1.557,1.581,1.581,1.557,0.02400000000000002,
9,2020-02-13 09:00:00,2.034,1.392,1.392,2.034,,0.6419999999999999
10,2020-02-13 10:00:00,2.841,24.3,,2.841,21.459,
11,2020-02-13 11:00:00,1.794,7.002,7.002,1.794,5.208,
12,2020-02-13 12:00:00,0.567,11.955,11.955,0.567,11.388,
13,2020-02-13 13:00:00,0.453,7.014,7.014,0.453,6.561,
14,2020-02-13 14:00:00,0.576,1.062,1.062,0.576,0.4860000000000001,
15,2020-02-13 15:00:00,0.138,0.807,0.807,0.138,0.669,
16,2020-02-13 16:00:00,0.045,0.96,0.96,0.045,0.9149999999999999,
17,2020-02-13 17:00:00,0.006,13.017,13.017,0.006,13.011,
18,2020-02-13 18:00:00,0.009,1.4388,1.4388,0.009,1.4298000000000002,
19,2020-02-13 19:00:00,0.003,0.9504,0.9504,0.003,0.9474,
20,2020-02-13 20:00:00,0.006,7.0884,7.0884,0.006,7.0824,
21,2020-02-13 21:00:00,0.012,2.733,2.733,0.012,2.721,
22,2020-02-13 22:00:00,0.012,2.862,2.862,0.012,2.85,
23,2020-02-13 23:00:00,0.0,1.229877,1.229877,0.0,1.229877,
0,2020-02-14 00:00:00,0.0,0.4619538,0.4619538,0.0,0.4619538,
1,2020-02-14 01:00:00,0.0,0.159984,0.159984,0.0,0.159984,
2,2020-02-14 02:00:00,0.0,0.149985,0.149985,0.0,0.149985,
3,2020-02-14 03:00:00,0.0,0.345,0.345,0.0,0.345,
4,2020-02-14 04:00:00,0.0,0.612,0.612,0.0,0.612,
5,2020-02-14 05:00:00,0.0,0.444,0.444,0.0,0.444,
6,2020-02-14 06:00:00,0.021,0.234,0.234,0.021,0.21300000000000002,
7,2020-02-14 07:00:00,0.003,1.221,1.221,0.003,1.2180000000000002,
8,2020-02-14 08:00:00,0.363,1.284,1.284,0.363,0.921,
9,2020-02-14 09:00:00,1.128,3.105,3.105,1.128,1.977,
10,2020-02-14 10:00:00,2.976,2.097,2.097,2.976,,0.879
11,2020-02-14 11:00:00,2.283,2.184,2.184,2.283,,0.09899999999999975
12,2020-02-14 12:00:00,1.536,0.384,0.384,1.536,,1.1520000000000001
13,2020-02-14 13:00:00,0.348,26.778,,0.348,26.43,
14,2020-02-14 14:00:00,0.438,0.699,0.699,0.438,0.26099999999999995,
15,2020-02-14 15:00:00,0.195,0.258,0.258,0.195,0.063,
16,2020-02-14 16:00:00,0.03,0.27,0.27,0.03,0.24000000000000002,
17,2020-02-14 17:00:00,0.009,6.264,6.264,0.009,6.255,
18,2020-02-14 18:00:00,0.003,15.477,15.477,0.003,15.474,
19,2020-02-14 19:00:00,0.012,7.2204,7.2204,0.012,7.2084,
20,2020-02-14 20:00:00,0.009,7.8408,7.8408,0.009,7.831799999999999,
21,2020-02-14 21:00:00,0.015,3.075,3.075,0.015,3.06,
22,2020-02-14 22:00:00,0.012,2.37,2.37,0.012,2.358,
23,2020-02-14 23:00:00,0.0,0.6659334,0.6659334,0.0,0.6659334,
0,2020-02-15 00:00:00,0.0,0.2839716,0.2839716,0.0,0.2839716,
1,2020-02-15 01:00:00,0.0,0.3059694,0.3059694,0.0,0.3059694,
2,2020-02-15 02:00:00,0.0,0.1259874,0.1259874,0.0,0.1259874,
3,2020-02-15 03:00:00,0.0,0.207,0.207,0.0,0.207,
4,2020-02-15 04:00:00,0.0,0.231,0.231,0.0,0.231,
5,2020-02-15 05:00:00,0.015,0.216,0.216,0.015,0.201,
6,2020-02-15 06:00:00,0.009,0.741,0.741,0.009,0.732,
7,2020-02-15 07:00:00,0.261,1.218,1.218,0.261,0.957,
8,2020-02-15 08:00:00,0.804,0.999,0.999,0.804,0.19499999999999995,
9,2020-02-15 09:00:00,4.764,10.443,10.443,4.764,5.678999999999999,
10,2020-02-15 10:00:00,5.112,1.923,1.923,5.112,,3.189
11,2020-02-15 11:00:00,6.441,1.143,1.143,6.441,,5.298
12,2020-02-15 12:00:00,5.964,6.222,6.222,5.964,0.258,
13,2020-02-15 13:00:00,4.869,0.369,0.369,4.869,,4.5
14,2020-02-15 14:00:00,2.943,0.12,0.12,2.943,,2.823
15,2020-02-15 15:00:00,0.372,0.231,0.231,0.372,,0.141
16,2020-02-15 16:00:00,0.09,0.336,0.336,0.09,0.24600000000000002,
17,2020-02-15 17:00:00,0.015,5.886,5.886,0.015,5.871,
18,2020-02-15 18:00:00,0.009,6.9696,6.9696,0.009,6.9605999999999995,
19,2020-02-15 19:00:00,0.021,12.8568,12.8568,0.021,12.835799999999999,
20,2020-02-15 20:00:00,0.015,5.1612,5.1612,0.015,5.1462,
21,2020-02-15 21:00:00,0.006,3.51,3.51,0.006,3.504,
22,2020-02-15 22:00:00,0.018,9.369,9.369,0.018,9.350999999999999,
23,2020-02-15 23:00:00,0.0,1.7978202,1.7978202,0.0,1.7978202,
0,2020-02-16 00:00:00,0.0,1.8978102,1.8978102,0.0,1.8978102,
1,2020-02-16 01:00:00,0.0,0.319968,0.319968,0.0,0.319968,
2,2020-02-16 02:00:00,0.0,0.29997,0.29997,0.0,0.29997,
3,2020-02-16 03:00:00,0.0,0.198,0.198,0.0,0.198,
4,2020-02-16 04:00:00,0.0,0.282,0.282,0.0,0.282,
5,2020-02-16 05:00:00,0.0,0.21,0.21,0.0,0.21,
6,2020-02-16 06:00:00,0.0,0.21,0.21,0.0,0.21,
7,2020-02-16 07:00:00,0.459,3.465,3.465,0.459,3.006,
8,2020-02-16 08:00:00,1.269,8.556,8.556,1.269,7.286999999999999,
9,2020-02-16 09:00:00,4.527,2.286,2.286,4.527,,2.241
10,2020-02-16 10:00:00,4.869,0.174,0.174,4.869,,4.694999999999999
11,2020-02-16 11:00:00,6.078,0.0,0.0,6.078,,6.078
12,2020-02-16 12:00:00,4.986,0.327,0.327,4.986,,4.659
13,2020-02-16 13:00:00,4.689,0.609,0.609,4.689,,4.08
14,2020-02-16 14:00:00,1.206,0.402,0.402,1.206,,0.8039999999999999
15,2020-02-16 15:00:00,0.63,0.231,0.231,0.63,,0.399
16,2020-02-16 16:00:00,0.09,0.558,0.558,0.09,0.4680000000000001,
17,2020-02-16 17:00:00,0.006,0.45,0.45,0.006,0.444,
18,2020-02-16 18:00:00,0.012,0.8052,0.8052,0.012,0.7932,
19,2020-02-16 19:00:00,0.012,0.9042,0.9042,0.012,0.8922,
20,2020-02-16 20:00:00,0.009,16.4868,,0.009,16.4778,
21,2020-02-16 21:00:00,0.012,1.185,1.185,0.012,1.173,
22,2020-02-16 22:00:00,0.0,0.576,0.576,0.0,0.576,
23,2020-02-16 23:00:00,0.0,0.389961,0.389961,0.0,0.389961,
0,2020-02-17 00:00:00,0.0,0.5379462,0.5379462,0.0,0.5379462,
1,2020-02-17 01:00:00,0.0,0.3679632,0.3679632,0.0,0.3679632,
2,2020-02-17 02:00:00,0.0,0.1539846,0.1539846,0.0,0.1539846,
3,2020-02-17 03:00:00,0.0,0.195,0.195,0.0,0.195,
4,2020-02-17 04:00:00,0.0,0.204,0.204,0.0,0.204,
5,2020-02-17 05:00:00,0.021,0.489,0.489,0.021,0.46799999999999997,
6,2020-02-17 06:00:00,0.003,0.222,0.222,0.003,0.219,
7,2020-02-17 07:00:00,0.702,0.513,0.513,0.702,,0.18899999999999995
8,2020-02-17 08:00:00,0.717,0.51,0.51,0.717,,0.20699999999999996
9,2020-02-17 09:00:00,5.172,0.177,0.177,5.172,,4.995
10,2020-02-17 10:00:00,5.64,0.381,0.381,5.64,,5.2589999999999995
11,2020-02-17 11:00:00,5.826,0.588,0.588,5.826,,5.2379999999999995
12,2020-02-17 12:00:00,6.051,0.123,0.123,6.051,,5.928
13,2020-02-17 13:00:00,4.896,0.153,0.153,4.896,,4.743
14,2020-02-17 14:00:00,2.913,0.219,0.219,2.913,,2.694
15,2020-02-17 15:00:00,0.417,0.324,0.324,0.417,,0.09299999999999997
16,2020-02-17 16:00:00,0.12,0.273,0.273,0.12,0.15300000000000002,
17,2020-02-17 17:00:00,0.003,6.21,6.21,0.003,6.207,
18,2020-02-17 18:00:00,0.015,2.5674,2.5674,0.015,2.5524,
19,2020-02-17 19:00:00,0.006,1.8216,1.8216,0.006,1.8156,
20,2020-02-17 20:00:00,0.0,2.1846,2.1846,0.0,2.1846,
21,2020-02-17 21:00:00,0.006,1.785,1.785,0.006,1.779,
22,2020-02-17 22:00:00,0.009,2.682,2.682,0.009,2.673,
23,2020-02-17 23:00:00,0.0,2.2335,2.2335,0.0,2.2335,
0,2020-02-18 00:00:00,0.0,14.979,14.979,0.0,14.979,
1,2020-02-18 01:00:00,0.0,1.0958904,1.0958904,0.0,1.0958904,
2,2020-02-18 02:00:00,0.0,0.1419858,0.1419858,0.0,0.1419858,
3,2020-02-18 03:00:00,0.0,0.219,0.219,0.0,0.219,
4,2020-02-18 04:00:00,0.0,0.225,0.225,0.0,0.225,
5,2020-02-18 05:00:00,0.012,0.246,0.246,0.012,0.23399999999999999,
6,2020-02-18 06:00:00,0.0,0.471,0.471,0.0,0.471,
7,2020-02-18 07:00:00,0.261,0.777,0.777,0.261,0.516,
8,2020-02-18 08:00:00,1.695,1.464,1.464,1.695,,0.2310000000000001
9,2020-02-18 09:00:00,2.595,0.267,0.267,2.595,,2.3280000000000003
10,2020-02-18 10:00:00,4.605,0.822,0.822,4.605,,3.7830000000000004
11,2020-02-18 11:00:00,2.415,0.672,0.672,2.415,,1.7429999999999999
12,2020-02-18 12:00:00,5.682,27.51,,5.682,21.828000000000003,
13,2020-02-18 13:00:00,3.408,3.477,3.477,3.408,0.06899999999999995,
14,2020-02-18 14:00:00,2.55,0.384,0.384,2.55,,2.166
15,2020-02-18 15:00:00,0.672,0.579,0.579,0.672,,0.09300000000000008
16,2020-02-18 16:00:00,0.12,3.075,3.075,0.12,2.955,
17,2020-02-18 17:00:00,0.009,1.248,1.248,0.009,1.239,
18,2020-02-18 18:00:00,0.003,1.221,1.221,0.003,1.2180000000000002,
19,2020-02-18 19:00:00,0.009,1.2408,1.2408,0.009,1.2318,
20,2020-02-18 20:00:00,0.012,3.3066,3.3066,0.012,3.2946,
21,2020-02-18 21:00:00,0.003,2.148,2.148,0.003,2.145,
22,2020-02-18 22:00:00,0.0,2.016,2.016,0.0,2.016,
23,2020-02-18 23:00:00,0.0,1.0738926,1.0738926,0.0,1.0738926,
0,2020-02-19 00:00:00,0.0,0.8279172,0.8279172,0.0,0.8279172,
1,2020-02-19 01:00:00,0.0,0.219978,0.219978,0.0,0.219978,
2,2020-02-19 02:00:00,0.0,0.2020798,0.2020798,0.0,0.2020798,
3,2020-02-19 03:00:00,0.0,0.57,0.57,0.0,0.57,
4,2020-02-19 04:00:00,0.0,0.456,0.456,0.0,0.456,
5,2020-02-19 05:00:00,0.0,0.207,0.207,0.0,0.207,
6,2020-02-19 06:00:00,0.021,0.717,0.717,0.021,0.696,
7,2020-02-19 07:00:00,0.195,2.202,2.202,0.195,2.007,
8,2020-02-19 08:00:00,0.45,0.858,0.858,0.45,0.408,
9,2020-02-19 09:00:00,0.606,0.246,0.246,0.606,,0.36
10,2020-02-19 10:00:00,0.825,0.231,0.231,0.825,,0.594
11,2020-02-19 11:00:00,0.711,0.582,0.582,0.711,,0.129
12,2020-02-19 12:00:00,0.753,0.351,0.351,0.753,,0.402
13,2020-02-19 13:00:00,0.864,0.531,0.531,0.864,,0.33299999999999996
14,2020-02-19 14:00:00,0.717,0.24,0.24,0.717,,0.477
15,2020-02-19 15:00:00,0.408,0.513,0.513,0.408,0.10500000000000004,
16,2020-02-19 16:00:00,0.039,0.81,0.81,0.039,0.771,
17,2020-02-19 17:00:00,0.012,0.546,0.546,0.012,0.534,
18,2020-02-19 18:00:00,0.015,40.4712,,0.015,40.4562,
